Date,Open,High,Low,Close
20201119,13775.26,13785.92,13700.04,13722.43
20201120,13702.59,13726.22,13666.07,13716.44
20201123,13793.55,13921.16,13793.55,13878.01
20201124,13918.84,13951.17,13798.32,13807.13
20201125,13860.95,13893.20,13731.81,13738.83
20201126,13763.79,13856.76,13763.79,13845.66
20201127,13833.21,13885.01,13811.81,13867.09
20201130,13917.65,13969.39,13722.89,13722.89
20201201,13810.55,13885.67,13749.71,13885.67
20201202,13970.51,13995.70,13894.70,13989.14
20201203,13988.49,14049.58,13940.07,13977.09
20201204,14010.17,14149.56,14010.17,14132.44
20201207,14230.00,14306.87,14142.02,14256.60
20201208,14251.94,14367.00,14184.58,14360.40
20201209,14336.69,14427.41,14336.69,14390.14
20201210,14295.15,14319.38,14191.85,14249.49
20201211,14298.59,14353.17,14081.42,14261.69
20201214,14238.92,14270.34,14182.25,14211.05
20201215,14206.33,14256.55,14053.35,14068.52
20201216,14145.24,14339.50,14145.24,14304.46
20201217,14326.16,14338.40,14213.49,14258.93
20201218,14268.13,14329.12,14245.60,14249.96
20201221,14273.79,14384.96,14166.89,14384.96
20201222,14348.11,14411.93,14175.69,14177.46
20201223,14180.70,14247.79,14134.87,14223.09
20201224,14256.29,14324.42,14256.29,14280.28
20201225,14306.98,14400.83,14296.97,14331.42
20201228,14363.45,14483.07,14363.45,14483.07
20201229,14500.91,14547.07,14435.03,14472.05
20201230,14485.97,14695.44,14476.69,14687.70
20201231,14704.53,14760.06,14646.33,14732.53
20210104,14720.25,14937.13,14720.25,14902.03
20210105,14913.64,15000.03,14861.99,15000.03
20210106,15145.85,15197.68,14837.00,14983.13
20210107,15059.52,15270.40,15049.86,15214.00
20210108,15365.13,15463.95,15275.38,15463.95
20210111,15425.58,15557.30,15395.73,15557.30
20210112,15549.53,15642.03,15421.23,15500.70
20210113,15550.16,15778.52,15550.16,15769.98
20210114,15651.20,15760.15,15620.96,15707.19
20210115,15987.16,16041.59,15615.11,15616.39
20210118,15676.45,15676.45,15320.97,15612.00
20210119,15716.64,15928.14,15716.64,15877.37
20210120,15934.85,16004.32,15745.48,15806.18
20210121,15775.73,16238.46,15775.73,16153.77
20210122,15984.89,16138.04,15973.02,16019.03
20210125,16006.21,16014.96,15772.63,15946.54
20210126,15955.16,16023.87,15589.21,15658.85
20210127,15711.76,15837.47,15642.12,15701.45
20210128,15519.85,15557.02,15367.45,15415.88
20210129,15544.36,15603.41,15138.31,15138.31
20210201,15176.56,15429.98,15089.96,15410.09
20210202,15546.69,15838.15,15546.69,15760.05
20210203,15828.64,15896.40,15741.16,15771.32
20210204,15697.75,15801.37,15606.74,15706.22
20210205,15805.76,15938.09,15774.34,15802.40
20210217,16197.45,16406.78,16197.45,16362.29
20210218,16366.23,16517.73,16323.22,16424.51
20210219,16376.91,16382.70,16211.25,16341.38
20210222,16445.87,16579.17,16410.16,16410.16
20210223,16320.88,16467.75,16211.75,16443.40
20210224,16329.54,16456.94,16212.53,16212.53
20210225,16376.80,16474.05,16322.27,16452.18
20210226,16190.04,16190.04,15953.80,15953.80
20210302,16127.87,16262.91,15946.88,15946.88
20210303,15992.32,16211.73,15884.55,16211.73
20210304,16091.75,16091.75,15840.99,15906.41
20210305,15759.58,15934.43,15636.43,15855.23
20210308,15943.37,16074.97,15816.50,15820.11
20210309,15715.07,15864.26,15657.92,15853.09
20210310,15921.45,15986.07,15857.32,15911.67
20210311,15947.21,16216.22,15947.21,16179.56
20210312,16241.55,16298.03,16166.35,16255.18
20210315,16256.58,16281.91,16194.91,16249.33
20210316,16253.93,16340.66,16244.99,16313.16
20210317,16312.98,16349.21,16166.35,16215.82
20210318,16264.61,16410.02,16264.61,16287.84
20210319,16186.46,16186.46,16022.17,16070.24
20210322,16065.50,16235.63,15983.77,16189.22
20210323,16250.20,16351.38,16166.29,16177.59
20210324,15994.96,16125.54,15967.95,16032.12
20210325,16010.54,16146.58,15944.96,16060.14
20210326,16140.37,16325.62,16140.37,16305.88
20210329,16411.67,16520.89,16411.67,16475.97
20210330,16490.31,16556.19,16438.40,16554.90
20210331,16529.23,16550.20,16427.20,16431.13
20210401,16538.28,16602.47,16496.16,16571.28
20210406,16711.79,16804.45,16711.79,16739.87
20210407,16771.35,16816.34,16715.32,16815.36
20210408,16786.56,16926.72,16735.78,16926.44
20210409,16974.28,17016.13,16815.59,16854.10
20210412,16908.55,16979.35,16793.54,16859.70
20210413,16872.40,17041.37,16802.22,16824.91
20210414,16869.78,16935.39,16559.57,16865.97
20210415,16851.06,17076.73,16851.06,17076.73
20210416,17028.35,17158.81,16998.91,17158.81
20210419,17141.25,17294.15,17135.52,17263.28
20210420,17231.58,17323.87,17175.02,17323.87
20210421,17282.76,17282.76,17167.39,17202.11
20210422,17302.73,17428.15,17066.17,17096.97
20210423,17117.49,17300.27,17055.48,17300.27
20210426,17378.36,17572.29,17378.36,17572.29
20210427,17586.02,17630.19,17489.71,17595.90
20210428,17610.72,17628.81,17497.74,17567.53
20210429,17646.93,17709.23,17548.30,17566.66
20210503,17505.52,17546.94,17222.35,17222.35
20210504,17249.56,17328.55,16647.61,16933.78
20210505,16968.75,17052.20,16843.44,16843.44
20210506,16925.52,17088.73,16764.71,16994.36
20210507,17032.23,17285.00,17032.23,17285.00
20210510,17274.23,17304.47,17188.15,17235.61
20210511,17137.19,17137.19,16460.87,16583.13
20210512,16515.88,16552.63,15165.27,15902.37
20210513,15668.33,16031.93,15368.54,15670.10
20210514,15819.24,16075.48,15702.10,15827.09
20210517,15554.99,15719.74,15159.86,15353.89
20210518,15564.96,16153.77,15564.96,16145.98
20210519,16112.21,16273.98,16009.76,16132.66
20210520,16122.52,16154.08,15943.45,16042.36
20210521,16136.86,16431.14,16136.86,16302.06
20210524,16246.52,16397.59,16136.97,16338.29
20210525,16444.75,16657.60,16444.75,16595.67
20210526,16645.17,16706.29,16523.23,16643.69
20210527,16591.70,16601.61,16419.42,16601.61
20210528,16690.04,16889.01,16690.04,16870.86
20210531,16948.47,17113.33,16939.91,17068.43
20210601,17098.49,17184.30,17060.45,17162.38
20210602,17192.91,17274.66,17056.42,17165.04
20210603,17201.30,17311.28,17198.89,17246.16
20210604,17225.06,17225.06,17084.49,17147.41
20210607,17176.09,17189.23,16775.85,17083.91
20210608,17094.34,17181.52,17056.53,17076.21
20210609,17082.52,17082.52,16907.43,16966.22
20210610,17024.54,17159.22,16978.01,17159.22
20210611,17200.45,17278.55,17193.61,17213.52
20210615,17279.70,17371.29,17279.70,17371.29
20210616,17357.37,17398.22,17275.02,17307.86
20210617,17254.84,17390.61,17150.52,17390.61
20210618,17384.74,17417.50,17318.54,17318.54
20210621,17305.49,17305.49,17023.31,17062.98
20210622,17162.71,17270.47,17075.55,17075.55
20210623,17127.59,17375.79,17127.59,17336.71
20210624,17358.57,17439.63,17319.89,17407.96
20210625,17471.07,17597.33,17471.07,17502.99
20210628,17531.82,17595.51,17481.23,17590.97
20210629,17621.15,17713.24,17541.14,17598.19
20210630,17648.25,17797.27,17648.25,17755.46
20210701,17801.19,17863.90,17644.36,17713.94
20210702,17745.69,17795.88,17676.98,17710.15
20210705,17783.80,17945.52,17783.80,17919.33
20210706,17929.22,18008.37,17895.78,17913.07
20210707,17901.25,17933.62,17756.82,17850.69
20210708,17880.90,17935.11,17742.08,17866.09
20210709,17778.12,17778.12,17597.46,17661.48
20210712,17843.30,17947.90,17759.90,17814.33
20210713,17931.47,18018.04,17786.76,17847.52
20210714,17892.51,17940.86,17716.44,17845.75
20210715,17878.78,18034.19,17878.78,18034.19
20210716,17839.58,17926.38,17779.61,17895.25
20210719,17854.35,17854.35,17708.15,17789.25
20210720,17724.92,17724.92,17500.69,17528.74
20210721,17593.60,17707.56,17352.24,17458.79
20210722,17482.81,17667.38,17482.81,17572.33
20210723,17603.95,17672.60,17511.86,17572.92
20210726,17554.93,17637.36,17403.56,17403.56
20210727,17394.77,17459.35,17264.50,17269.87
20210728,17252.87,17252.87,16893.70,17135.22
20210729,17216.58,17402.81,17190.48,17402.81
20210730,17414.77,17429.01,17237.67,17247.41
20210802,17256.61,17503.28,17231.22,17503.28
20210803,17489.12,17553.76,17456.20,17553.76
20210804,17588.64,17636.11,17557.18,17623.89
20210805,17624.82,17643.97,17566.72,17603.12
20210805,17624.82,17643.97,17566.72,17603.12
20210806,17593.85,17593.85,17469.68,17526.28
20210809,17505.01,17510.09,17350.15,17485.15
20210810,17492.45,17524.91,17305.06,17323.64
20210811,17308.62,17327.20,17090.25,17227.18
20210812,17221.35,17233.11,17139.21,17219.94
20210813,17216.34,17216.34,16978.11,16982.11
20210816,16941.33,16983.59,16773.57,16858.77
20210817,16841.62,16870.55,16657.63,16661.36
20210818,16630.99,16826.27,16418.54,16826.27
20210819,16777.78,16777.78,16375.40,16375.40
20210820,16426.98,16507.11,16248.08,16341.94
20210823,16459.13,16785.29,16459.13,16741.84
20210825,16821.08,17045.86,16821.08,17045.86
20210826,17177.39,17201.42,16984.69,17066.96
20210827,17061.10,17229.89,17000.26,17209.93
20210830,17244.62,17396.52,17244.62,17396.52
20210831,17384.61,17490.29,17207.57,17490.29
20210901,17463.80,17503.93,17415.52,17473.99
20210902,17455.92,17523.16,17319.76,17319.76
20210903,17380.52,17540.78,17380.52,17516.92
20210913,17452.16,17482.57,17387.57,17446.31
20210914,17463.78,17529.47,17424.54,17434.90
20210915,17434.02,17439.75,17316.52,17354.00
20210916,17332.34,17411.37,17254.10,17278.70
20210917,17279.29,17408.71,17235.45,17276.79
20210917,17279.29,17408.71,17235.45,17276.79
20210917,17279.29,17408.71,17235.45,17276.79
20210922,17196.79,17196.79,16838.58,16925.82
20210923,16998.07,17145.25,16998.07,17078.22
20210924,17130.74,17273.59,17130.74,17260.19
20210927,17278.11,17335.99,17235.68,17313.77
20210928,17286.89,17286.89,17113.47,17181.44
20210929,17127.86,17127.86,16801.78,16855.46
20210930,16886.57,16994.21,16767.20,16934.77
20211001,16883.00,16883.00,16503.74,16570.89
20211004,16600.52,16680.29,16380.06,16408.35
20211005,16362.27,16460.75,16162.17,16460.75
20211006,16488.21,16568.21,16303.63,16393.16
20211007,16465.57,16731.58,16465.57,16713.86
20211008,16742.35,16771.71,16605.49,16640.43
20211014,16392.51,16519.96,16347.88,16387.28
20211015,16426.76,16781.19,16426.76,16781.19
20211018,16816.94,16862.03,16695.89,16705.46
20211019,16791.12,16916.72,16772.15,16900.67
20211020,16936.20,16973.86,16855.81,16887.82
20211022,16900.32,16932.89,16800.49,16888.74
20211025,16879.34,16930.98,16784.11,16894.24
20211026,16909.32,17067.15,16909.32,17034.34
20211027,17037.37,17079.60,16973.16,17074.55
20211028,17081.17,17104.86,16994.37,17041.63
20211029,17058.04,17073.97,16920.68,16987.41
20211101,17021.77,17119.43,17021.77,17068.24
20211102,17094.42,17237.09,17026.63,17065.97
20211103,17087.89,17153.76,17080.51,17122.16
20211104,17158.28,17219.65,17061.46,17078.86
20211105,17097.16,17296.90,17097.16,17296.90
20211108,17323.39,17415.30,17279.46,17415.30
20211109,17433.10,17581.52,17433.10,17541.36
20211110,17549.09,17575.44,17489.87,17559.65
20211111,17527.18,17527.18,17403.48,17452.52
20211112,17479.55,17602.05,17479.55,17518.13
20211115,17560.52,17683.19,17560.52,17634.47
20211116,17639.96,17708.10,17629.80,17693.13
20211117,17705.29,17764.04,17669.58,17764.04
20211118,17767.06,17841.37,17748.21,17841.37
20211122,17828.53,17857.73,17790.64,17803.54
20211123,17797.90,17797.90,17650.07,17666.12
20211124,17680.16,17722.89,17588.78,17642.52
20211125,17686.12,17724.50,17609.51,17654.19
20211126,17641.79,17641.79,17330.44,17369.39
20211129,17320.01,17415.63,17167.24,17328.09
20211130,17369.79,17535.23,17369.79,17427.76
20211201,17428.61,17626.21,17374.59,17585.99
20211202,17575.91,17741.55,17559.44,17724.88
20211203,17720.93,17781.14,17670.32,17697.14
20211206,17650.67,17763.42,17585.95,17688.21
20211207,17734.19,17796.92,17642.32,17796.92
20211208,17845.06,17988.88,17832.42,17832.42
20211209,17880.41,17925.12,17807.12,17914.12
20211210,17893.29,17893.29,17767.80,17826.26
20211213,17841.03,17919.35,17767.60,17767.60
20211214,17754.38,17754.38,17566.99,17599.37
20211215,17592.87,17678.78,17556.87,17660.10
20211216,17719.06,17814.32,17719.06,17785.74
20211217,17744.54,17822.74,17718.27,17812.59
20211220,17812.81,17812.81,17646.39,17669.11
20211221,17686.84,17825.89,17652.32,17789.27
20211222,17805.74,17870.16,17799.72,17826.83
20211223,17855.78,17960.99,17855.78,17946.66
20211227,17975.41,18099.78,17975.41,18048.94
20211228,18099.71,18197.36,18099.71,18196.81
20211229,18209.14,18283.25,18192.86,18248.28
20211230,18270.00,18291.25,18216.45,18218.84
20211230,18270.00,18291.25,18216.45,18218.84
20220103,18260.23,18379.69,18238.47,18270.51
20220104,18395.14,18526.35,18395.14,18526.35
20220105,18598.13,18619.61,18446.52,18499.96
20220106,18395.72,18427.15,18253.82,18367.92
20220107,18388.16,18444.12,18134.41,18169.76
20220110,18095.39,18243.26,18043.97,18239.38
20220111,18266.54,18293.53,18135.43,18288.21
20220112,18348.39,18394.70,18255.38,18375.40
20220113,18356.21,18459.73,18346.81,18436.93
20220114,18509.00,18509.00,18213.44,18403.33
20220117,18512.15,18535.42,18435.02,18525.44
20220118,18492.81,18575.41,18378.64,18378.64
20220119,18275.18,18359.14,18199.35,18227.46
20220120,18212.26,18292.14,18125.20,18218.28
20220121,18113.94,18113.94,17851.39,17899.30
20220124,17843.33,18004.45,17682.33,17989.04
20220125,17890.71,17890.71,17645.66,17701.12
20220126,17657.97,17776.42,17633.03,17674.40
