Date,1thFFundDiff,2thFFundDiff,3thFFundDiff,4thFFundDiff,5thFFundDiff,6thFFundDiff,7thFFundDiff
20201222,-3780427838,-16520278470,29277268278,2903894835,68910166,10436251661,-9986882802
20201223,-16520278470,29277268278,2903894835,68910166,10436251661,-9986882802,683552750
20201224,29277268278,2903894835,68910166,10436251661,-9986882802,683552750,3009615253
20201225,2903894835,68910166,10436251661,-9986882802,683552750,3009615253,5274170949
20201228,68910166,10436251661,-9986882802,683552750,3009615253,5274170949,12949871214
20201229,10436251661,-9986882802,683552750,3009615253,5274170949,12949871214,-1256508512
20201230,-9986882802,683552750,3009615253,5274170949,12949871214,-1256508512,26833686455
20201231,683552750,3009615253,5274170949,12949871214,-1256508512,26833686455,5697920877
20210104,3009615253,5274170949,12949871214,-1256508512,26833686455,5697920877,24767852178
20210105,5274170949,12949871214,-1256508512,26833686455,5697920877,24767852178,2654131011
20210106,12949871214,-1256508512,26833686455,5697920877,24767852178,2654131011,-148111371
20210107,-1256508512,26833686455,5697920877,24767852178,2654131011,-148111371,16452629367
20210108,26833686455,5697920877,24767852178,2654131011,-148111371,16452629367,19714889723
20210111,5697920877,24767852178,2654131011,-148111371,16452629367,19714889723,-1586825248
20210112,24767852178,2654131011,-148111371,16452629367,19714889723,-1586825248,-6431413430
20210113,2654131011,-148111371,16452629367,19714889723,-1586825248,-6431413430,15547643077
20210114,-148111371,16452629367,19714889723,-1586825248,-6431413430,15547643077,-8927132565
20210115,16452629367,19714889723,-1586825248,-6431413430,15547643077,-8927132565,-4039399956
20210118,19714889723,-1586825248,-6431413430,15547643077,-8927132565,-4039399956,-1551401722
20210119,-1586825248,-6431413430,15547643077,-8927132565,-4039399956,-1551401722,6621592823
20210120,-6431413430,15547643077,-8927132565,-4039399956,-1551401722,6621592823,-21545509864
20210121,15547643077,-8927132565,-4039399956,-1551401722,6621592823,-21545509864,2121669007
20210122,-8927132565,-4039399956,-1551401722,6621592823,-21545509864,2121669007,-34350989509
20210125,-4039399956,-1551401722,6621592823,-21545509864,2121669007,-34350989509,-20976226971
20210126,-1551401722,6621592823,-21545509864,2121669007,-34350989509,-20976226971,-28856981467
20210127,6621592823,-21545509864,2121669007,-34350989509,-20976226971,-28856981467,-5305691863
20210128,-21545509864,2121669007,-34350989509,-20976226971,-28856981467,-5305691863,-32542976515
20210129,2121669007,-34350989509,-20976226971,-28856981467,-5305691863,-32542976515,-34697887095
20210201,-34350989509,-20976226971,-28856981467,-5305691863,-32542976515,-34697887095,14587240096
20210202,-20976226971,-28856981467,-5305691863,-32542976515,-34697887095,14587240096,9291005290
20210203,-28856981467,-5305691863,-32542976515,-34697887095,14587240096,9291005290,-333382802
20210204,-5305691863,-32542976515,-34697887095,14587240096,9291005290,-333382802,-11697349639
20210205,-32542976515,-34697887095,14587240096,9291005290,-333382802,-11697349639,-5625328575
20210217,-34697887095,14587240096,9291005290,-333382802,-11697349639,-5625328575,29725762011
20210218,14587240096,9291005290,-333382802,-11697349639,-5625328575,29725762011,-3246590716
20210219,9291005290,-333382802,-11697349639,-5625328575,29725762011,-3246590716,-18928198331
20210222,-333382802,-11697349639,-5625328575,29725762011,-3246590716,-18928198331,-2873908839
20210223,-11697349639,-5625328575,29725762011,-3246590716,-18928198331,-2873908839,4251709014
20210224,-5625328575,29725762011,-3246590716,-18928198331,-2873908839,4251709014,-23926794406
20210225,29725762011,-3246590716,-18928198331,-2873908839,4251709014,-23926794406,23132222991
20210226,-3246590716,-18928198331,-2873908839,4251709014,-23926794406,23132222991,-94407572721
20210302,-18928198331,-2873908839,4251709014,-23926794406,23132222991,-94407572721,-6783497364
20210303,-2873908839,4251709014,-23926794406,23132222991,-94407572721,-6783497364,14107421901
20210304,4251709014,-23926794406,23132222991,-94407572721,-6783497364,14107421901,-52515040476
20210305,-23926794406,23132222991,-94407572721,-6783497364,14107421901,-52515040476,-26352191942
20210308,23132222991,-94407572721,-6783497364,14107421901,-52515040476,-26352191942,-16700698758
20210309,-94407572721,-6783497364,14107421901,-52515040476,-26352191942,-16700698758,-3086876259
20210310,-6783497364,14107421901,-52515040476,-26352191942,-16700698758,-3086876259,-3819512682
20210311,14107421901,-52515040476,-26352191942,-16700698758,-3086876259,-3819512682,19511991064
20210312,-52515040476,-26352191942,-16700698758,-3086876259,-3819512682,19511991064,6026199047
20210315,-26352191942,-16700698758,-3086876259,-3819512682,19511991064,6026199047,-2974472533
20210316,-16700698758,-3086876259,-3819512682,19511991064,6026199047,-2974472533,-1161892191
20210317,-3086876259,-3819512682,19511991064,6026199047,-2974472533,-1161892191,-12942654783
20210318,-3819512682,19511991064,6026199047,-2974472533,-1161892191,-12942654783,10805395460
20210319,19511991064,6026199047,-2974472533,-1161892191,-12942654783,10805395460,-38761137304
20210322,6026199047,-2974472533,-1161892191,-12942654783,10805395460,-38761137304,-5075845890
20210323,-2974472533,-1161892191,-12942654783,10805395460,-38761137304,-5075845890,-5380017891
20210324,-1161892191,-12942654783,10805395460,-38761137304,-5075845890,-5380017891,-35772021619
20210325,-12942654783,10805395460,-38761137304,-5075845890,-5380017891,-35772021619,-16573118715
20210326,10805395460,-38761137304,-5075845890,-5380017891,-35772021619,-16573118715,23139939541
20210329,-38761137304,-5075845890,-5380017891,-35772021619,-16573118715,23139939541,8717923696
20210330,-5075845890,-5380017891,-35772021619,-16573118715,23139939541,8717923696,11220534957
20210331,-5380017891,-35772021619,-16573118715,23139939541,8717923696,11220534957,-16528772639
20210401,-35772021619,-16573118715,23139939541,8717923696,11220534957,-16528772639,15455553383
20210406,-16573118715,23139939541,8717923696,11220534957,-16528772639,15455553383,14450714092
20210407,23139939541,8717923696,11220534957,-16528772639,15455553383,14450714092,6457424297
20210408,8717923696,11220534957,-16528772639,15455553383,14450714092,6457424297,1113326398
20210409,11220534957,-16528772639,15455553383,14450714092,6457424297,1113326398,-4614873484
20210412,-16528772639,15455553383,14450714092,6457424297,1113326398,-4614873484,-7529123097
20210413,15455553383,14450714092,6457424297,1113326398,-4614873484,-7529123097,-1752357794
20210414,14450714092,6457424297,1113326398,-4614873484,-7529123097,-1752357794,-1796076733
20210415,6457424297,1113326398,-4614873484,-7529123097,-1752357794,-1796076733,4310911780
20210416,1113326398,-4614873484,-7529123097,-1752357794,-1796076733,4310911780,6101316943
20210419,-4614873484,-7529123097,-1752357794,-1796076733,4310911780,6101316943,6238221715
20210420,-7529123097,-1752357794,-1796076733,4310911780,6101316943,6238221715,-1586708361
20210421,-1752357794,-1796076733,4310911780,6101316943,6238221715,-1586708361,-20261092034
20210422,-1796076733,4310911780,6101316943,6238221715,-1586708361,-20261092034,2914215185
20210423,4310911780,6101316943,6238221715,-1586708361,-20261092034,2914215185,19090429416
20210426,6101316943,6238221715,-1586708361,-20261092034,2914215185,19090429416,16016229585
20210427,6238221715,-1586708361,-20261092034,2914215185,19090429416,16016229585,3048711148
20210428,-1586708361,-20261092034,2914215185,19090429416,16016229585,3048711148,6004883202
20210429,-20261092034,2914215185,19090429416,16016229585,3048711148,6004883202,-6300959733
20210503,2914215185,19090429416,16016229585,3048711148,6004883202,-6300959733,-8169386416
20210504,19090429416,16016229585,3048711148,6004883202,-6300959733,-8169386416,88845109
20210505,16016229585,3048711148,6004883202,-6300959733,-8169386416,88845109,-13272002957
20210506,3048711148,6004883202,-6300959733,-8169386416,88845109,-13272002957,-6915210329
20210507,6004883202,-6300959733,-8169386416,88845109,-13272002957,-6915210329,16062518916
20210510,-6300959733,-8169386416,88845109,-13272002957,-6915210329,16062518916,-2494685377
20210511,-8169386416,88845109,-13272002957,-6915210329,16062518916,-2494685377,-42423134418
20210512,88845109,-13272002957,-6915210329,16062518916,-2494685377,-42423134418,-12187251009
20210513,-13272002957,-6915210329,16062518916,-2494685377,-42423134418,-12187251009,-22669904448
20210514,-6915210329,16062518916,-2494685377,-42423134418,-12187251009,-22669904448,-13655889805
20210517,16062518916,-2494685377,-42423134418,-12187251009,-22669904448,-13655889805,33417037041
20210518,-2494685377,-42423134418,-12187251009,-22669904448,-13655889805,33417037041,22134308469
20210519,-42423134418,-12187251009,-22669904448,-13655889805,33417037041,22134308469,-29381563048
20210520,-12187251009,-22669904448,-13655889805,33417037041,22134308469,-29381563048,-17109308500
20210521,-22669904448,-13655889805,33417037041,22134308469,-29381563048,-17109308500,17446282338
20210524,-13655889805,33417037041,22134308469,-29381563048,-17109308500,17446282338,-135904573
20210525,33417037041,22134308469,-29381563048,-17109308500,17446282338,-135904573,-1184015725
20210526,22134308469,-29381563048,-17109308500,17446282338,-135904573,-1184015725,1950381083
20210527,-29381563048,-17109308500,17446282338,-135904573,-1184015725,1950381083,-12340267525
20210528,-17109308500,17446282338,-135904573,-1184015725,1950381083,-12340267525,18694643673
20210531,17446282338,-135904573,-1184015725,1950381083,-12340267525,18694643673,13131089638
20210601,-135904573,-1184015725,1950381083,-12340267525,18694643673,13131089638,2022800862
20210602,-1184015725,1950381083,-12340267525,18694643673,13131089638,2022800862,-9446139673
20210603,1950381083,-12340267525,18694643673,13131089638,2022800862,-9446139673,8149071626
20210604,-12340267525,18694643673,13131089638,2022800862,-9446139673,8149071626,-16649837346
20210607,18694643673,13131089638,2022800862,-9446139673,8149071626,-16649837346,-7821698380
20210608,13131089638,2022800862,-9446139673,8149071626,-16649837346,-7821698380,-6174764978
20210609,2022800862,-9446139673,8149071626,-16649837346,-7821698380,-6174764978,-14822988757
20210610,-9446139673,8149071626,-16649837346,-7821698380,-6174764978,-14822988757,18303178018
